***  Récepteur: 1.17, Outil: 5.2.0.6, Mode: ORG, Freq: 2 Hz, GPS: Raid, Véhicule: 2, Course: 8, CHK: NOK  ***
InfosControle
Concurrent;   79
No série; 5038
Course; E1K0 
Code1 entrés; 2982
Code2 entrés; 
CHK; NOK
CP non passés; 1
Asc non passés; 0
Discontinuités; 0
Excès vit.village; 9
Excès vit.globale; 0
Nb Wpts démasqués; 0
Cps non passés; 40
Dépassements vitesse; 15+ : 41; 15+ : 42; 22+ : 83; 22+ : 83; 22+ : 85; 22+ : 83; 22+ : 82; 22+ : 82; 22+ : 81
 
InfosChronos
DateHeure: 6/4/13;18:50:23;TPC;NumWpt: 25;TempsPassage: 790;;
DateHeure: 6/4/13;19:19:22;TPC;NumWpt: 26;TempsPassage: 240;;
DateHeure: 6/4/13;20:06:39;TPC;NumWpt: 27;TempsPassage: 795;;
DateHeure: 6/4/13;20:07:16;TPC;NumWpt: 28;TempsPassage: 260;;
DateHeure: 6/4/13;20:08:34;TPC;NumWpt: 29;TempsPassage: 335;;
DateHeure: 6/4/13;20:09:32;TPC;NumWpt: 30;TempsPassage: 665;;
DateHeure: 6/4/13;20:17:00;TPC;NumWpt: 31;TempsPassage: 695;;
DateHeure: 6/4/13;20:18:18;TPC;NumWpt: 32;TempsPassage: 280;;
DateHeure: 6/4/13;20:54:13;TPC;NumWpt: 33;TempsPassage: 145;;
DateHeure: 6/4/13;21:16:34;TPC;NumWpt: 34;TempsPassage: 290;;
DateHeure: 6/4/13;21:29:45;TPC;NumWpt: 35;TempsPassage: 795;;
DateHeure: 6/4/13;21:56:20;TPC;NumWpt: 36;TempsPassage: 715;;
DateHeure: 6/4/13;22:10:10;TPC;NumWpt: 37;TempsPassage: 355;;
DateHeure: 6/4/13;22:42:50;TPC;NumWpt: 38;TempsPassage: 195;;
DateHeure: 6/4/13;22:58:05;TPC;NumWpt: 1;TempsPassage: 250;;

<FIN>
